Date,ATHENS GENERAL INDEX,LAMDA,JUMBO,MYTILINAIOS,AEGEAN,OTE,OPAP,TERNA,DEH,TPEIRAIWS,ETE,EUROBANK,ALPHA
19/02/2021,781.42,6.51,13.35,12.8,4.44,12.31,10.45,12.3,9.33,0.766,2.019,0.5594,0.7692
18/02/2021,782.23,6.56,13.1,12.7,4.39,12.39,10.47,13.78,9.05,0.7562,1.9995,0.55,0.769
17/02/2021,788.75,6.51,13.35,12.97,4.355,12.59,10.59,13.8,8.725,0.802,2.078,0.564,0.7852
16/02/2021,795.91,6.53,13.61,13.18,4.35,12.85,10.73,14.12,8.45,0.84,2.098,0.57,0.809
15/02/2021,796.38,6.67,13.5,12.82,4.27,12.6,10.76,14.5,8.35,0.815,2.126,0.5776,0.83
12/02/2021,776.09,6.35,13.2,12.38,4.215,12.25,10.66,14.38,7.965,0.746,2.061,0.563,0.79
11/02/2021,774.38,6.3,13.35,12.22,4.39,12.3,10.8,14.44,8.05,0.7154,2.031,0.568,0.77
10/02/2021,762.83,6.36,13.15,12.26,4.34,12.2,10.65,14.32,7.8,0.772,2.01,0.56,0.73
09/02/2021,756.88,6.29,13.08,11.96,4.34,12.2,10.41,13.94,7.4,0.82,2.007,0.569,0.7448
08/02/2021,778.01,6.26,13.59,12.35,4.34,12.52,10.8,14.46,7.5,0.8742,2.115,0.5984,0.79
05/02/2021,764.6,6.3,13.73,12.21,4.355,12.4,10.6,14.12,7.3,0.849,2.07,0.59,0.741
04/02/2021,760.78,6.37,13.18,12.16,4.35,12.48,10.5,14.2,7.2,0.8452,2.06,0.578,0.729
03/02/2021,764.33,6.35,13.18,12.44,4.34,12.47,10.5,14.16,7.2,0.856,2.052,0.58,0.748
02/02/2021,760.59,6.29,12.99,12.46,4.27,12.42,10.38,14.1,7.07,0.865,1.999,0.5702,0.7494
01/02/2021,749.73,6.2,12.9,12.14,4,11.97,10,14.02,7.05,0.89,1.972,0.56,0.753
29/01/2021,749.46,6.36,12.95,12.06,4.1,12,10.12,14.06,7.065,0.9,1.951,0.5494,0.755
28/01/2021,754.25,6.45,12.8,11.85,4.2,12.11,9.97,13.8,6.8,0.92,2.01,0.562,0.7896
27/01/2021,743.49,6.38,13.01,11.6,4.35,12.07,10.05,13.8,6.74,0.89,1.811,0.5434,0.7232
26/01/2021,764.7,6.45,13,12.18,4.55,12.32,10.49,14,6.91,0.9282,1.9735,0.57,0.778
25/01/2021,762.13,6.5,13,12.04,4.55,12.24,10.4,13.8,6.84,0.921,2.02,0.574,0.78
22/01/2021,778.98,6.62,12.91,12.27,4.7,12.62,10.5,14,7.03,1.017,2.069,0.585,0.831
21/01/2021,796.77,6.82,13.21,12.55,4.96,12.88,10.94,14.4,7.2,1.0495,2.17,0.5964,0.877
20/01/2021,800.76,6.93,13.2,12.53,4.85,13,11.08,14.2,7.23,1.08,2.129,0.6046,0.899
19/01/2021,799.97,7.07,13.31,12.47,4.82,13.05,11.03,13.78,7.325,1.109,2.031,0.6,0.887
18/01/2021,787.76,6.88,13.15,12.3,4.84,13.02,11,13.9,7.15,1.08,1.9335,0.576,0.846
15/01/2021,790.14,6.9,13.43,12.18,4.8,13.01,10.9,13.84,7.17,1.1295,1.936,0.58,0.863
14/01/2021,794.03,6.85,13.08,12.4,4.895,13.13,11.16,14,7.25,1.1495,1.915,0.579,0.86
13/01/2021,802.19,6.9,13.37,12.45,4.93,13.13,11.17,14.48,7.365,1.16,1.985,0.5836,0.8808
12/01/2021,796.73,6.85,13.75,12.22,4.9,13,11.16,13.68,7.455,1.145,1.959,0.58,0.853
11/01/2021,800.56,6.92,13.94,12.24,4.96,13,11.03,14.26,7.46,1.174,1.977,0.5898,0.841
08/01/2021,819.27,7.03,13.95,12.29,5.09,13.32,11.06,14.78,7.615,1.25,2.09,0.5996,0.885
07/01/2021,820.03,7.22,14.11,12.48,5.08,13.35,10.99,14.48,7.54,1.244,2.16,0.5908,0.904
05/01/2021,813.62,7.16,14.12,12.46,5.08,13.5,10.9,13.76,7.44,1.25,2.169,0.5972,0.92
04/01/2021,822.22,7.34,14.15,12.39,5.24,13.39,10.92,13.54,7.575,1.241,2.272,0.607,0.9538
31/12/2020,808.99,7.1,14.21,11.9,5.15,13.18,10.95,13.2,7.43,1.3,2.261,0.5786,0.9542
30/12/2020,809.08,7.15,14.2,11.7,5.16,13.34,10.95,13.08,7.4,1.2765,2.254,0.5848,0.95
